"subj_idx","rt","response","rwdType","tgtPos","colPos","colMatch"
5,0.5302300001,1,1,3,3,2
5,0.5823649999,1,0,2,0,0
5,0.5436500001,1,0,2,0,0
5,1.912575,1,0,3,0,0
5,0.58387,0,1,2,2,2
5,0.67341,0,1,2,2,2
5,0.6176499999,0,1,1,1,2
5,0.70652,1,1,2,2,2
5,0.398825,1,1,1,1,2
5,0.74997,1,1,2,2,2
5,0.5884,1,1,1,1,2
5,0.6699900001,0,0,1,0,0
5,0.42034,1,1,1,1,2
5,0.5799949998,1,1,1,1,2
5,0.4034899999,1,0,3,0,0
6,1.156,1,0,2,0,0
6,1.067,1,0,1,0,0
6,0.958,1,1,3,3,2
6,1.19,1,1,2,2,2
6,0.887,0,0,2,0,0
6,1.03,1,1,1,1,2
6,0.983,1,0,2,0,0
6,1.611,1,1,1,1,2
6,1.11,1,1,1,1,2
6,0.998,1,0,1,0,0
6,0.869,1,0,1,0,0
6,0.989,1,1,2,2,2
6,1.439,1,1,2,2,2
6,0.728,1,0,3,0,0
6,0.826,1,0,3,0,0
6,1.091,1,0,3,0,0
6,0.878,1,1,1,1,2
6,0.714,1,1,2,2,2
6,0.782,1,0,2,0,0
6,1.007,1,0,3,0,0
6,0.823,1,1,1,1,2
6,0.477,0,1,3,3,2
6,0.697,0,1,3,3,2
6,1.178,1,0,2,0,0
6,0.699,1,0,3,0,0
6,1.369,0,1,2,2,2
6,1.256,0,1,2,2,2
6,1.08,1,0,2,0,0
6,1.134,1,0,1,0,0
6,1.043,0,0,2,0,0
6,1.153,1,1,3,3,2
6,0.632,1,1,1,1,2
6,0.678,1,0,3,0,0
6,0.786,0,0,2,0,0
6,0.649,1,1,1,1,2
6,0.908,1,1,1,1,2
6,0.477,0,0,3,0,0
6,1.016,1,1,2,2,2
6,0.94,1,0,3,0,0
6,0.662,1,0,1,0,0
6,0.622,1,1,3,3,2
6,0.676,1,1,3,3,2
6,1.104,0,1,1,1,2
6,0.729,1,1,3,3,2
6,0.905,1,0,1,0,0
6,0.56,1,1,1,1,2
6,0.794,1,1,2,2,2
6,0.621,1,1,3,3,2
6,1.176,0,0,1,0,0
6,0.911,1,0,3,0,0
6,0.827,1,1,2,2,2
6,0.683,0,0,1,0,0
6,0.892,0,0,2,0,0
6,1.127,1,0,3,0,0
6,1.03,1,1,3,3,2
6,1.501,1,1,2,2,2
6,0.991,0,0,2,0,0
6,1.142,1,0,1,0,0
6,0.639,1,0,1,0,0
7,0.56813,1,0,1,0,0
7,0.945675,0,0,2,0,0
7,1.160525,1,1,1,1,2
7,0.716715,1,0,1,0,0
7,1.005165,1,1,3,3,2
7,0.656515,1,0,3,0,0
7,0.67052,1,1,2,2,2
7,0.826795,1,1,1,1,2
7,1.2536,1,0,1,0,0
7,0.90146,1,1,1,1,2
7,0.81753,1,1,2,2,2
7,0.742375,1,1,3,3,2
7,0.691525,1,1,3,3,2
7,0.732845,1,0,3,0,0
7,0.903605,1,1,1,1,2
7,0.83749,1,0,3,0,0
7,0.751885,0,1,1,1,2
7,0.68463,1,1,2,2,2
7,0.83538,1,1,2,2,2
7,1.05308,1,0,2,0,0
7,0.633235,1,1,1,1,2
7,0.819345,1,0,1,0,0
7,0.7528,1,1,3,3,2
7,0.655135,1,0,2,0,0
7,0.669425,1,0,1,0,0
7,0.70001,1,0,3,0,0
7,1.04635,1,1,3,3,2
7,0.70925,0,0,2,0,0
7,0.660635,1,0,3,0,0
7,1.05673,0,1,3,3,2
7,0.79432,1,0,2,0,0
7,0.7757,1,1,2,2,2
7,0.76423,1,1,2,2,2
7,0.94249,0,0,1,0,0
7,0.756945,1,1,2,2,2
7,0.68523,1,0,3,0,0
7,0.78127,1,1,1,1,2
7,0.5212,1,1,1,1,2
7,0.534195,1,1,3,3,2
7,0.57025,1,0,1,0,0
7,0.73972,1,0,1,0,0
7,0.807925,1,1,2,2,2
7,1.008895,1,0,3,0,0
7,0.97371,1,0,2,0,0
7,0.51183,1,1,2,2,2
7,0.60234,1,0,1,0,0
7,0.649285,1,1,2,2,2
7,0.58308,1,0,3,0,0
7,0.76634,1,0,3,0,0
7,0.65751,1,0,3,0,0
7,0.58721,1,1,1,1,2
7,0.700855,1,1,3,3,2
7,0.619465,0,0,2,0,0
7,0.971145,1,0,1,0,0
7,0.97636,1,1,3,3,2
7,0.46432,1,0,2,0,0
7,0.726595,1,1,1,1,2
7,0.686875,1,0,2,0,0
7,0.856515,1,0,2,0,0
7,0.518835,1,1,3,3,2
8,0.847935,0,1,1,1,2
8,1.12702,0,0,1,0,0
8,0.75087,1,1,1,1,2
8,0.618615,1,0,1,0,0
8,0.393855,1,1,2,2,2
8,0.54052,1,0,1,0,0
8,0.423055,1,0,1,0,0
8,0.508555,1,0,3,0,0
8,0.52645,1,0,3,0,0
8,0.427925,1,0,3,0,0
8,0.562295,1,1,1,1,2
8,0.51301,1,1,1,1,2
8,0.52902,1,1,2,2,2
8,0.643075,1,0,1,0,0
8,0.56615,1,1,2,2,2
8,0.594115,1,0,3,0,0
8,0.58067,1,0,3,0,0
8,0.586745,1,0,2,0,0
8,0.540965,1,0,2,0,0
8,0.478595,1,0,3,0,0
8,0.63658,1,0,1,0,0
8,0.482885,1,1,3,3,2
8,0.42296,0,0,1,0,0
8,0.47654,1,0,2,0,0
8,0.471305,1,0,2,0,0
8,0.39647,1,1,3,3,2
8,0.45093,1,0,3,0,0
8,0.43052,1,1,2,2,2
8,0.595965,1,0,1,0,0
8,0.430885,1,0,2,0,0
8,0.39018,1,1,1,1,2
8,0.41905,1,1,3,3,2
8,0.50122,1,1,2,2,2
8,0.407855,1,0,2,0,0
8,0.44128,1,1,1,1,2
8,0.442015,1,1,1,1,2
8,0.50527,1,1,3,3,2
8,0.373925,1,0,3,0,0
8,0.53834,0,1,2,2,2
8,0.446235,1,1,3,3,2
8,0.58277,0,1,1,1,2
8,0.515975,1,0,2,0,0
8,0.53125,1,1,2,2,2
8,0.460585,1,0,3,0,0
8,0.543115,0,1,1,1,2
8,0.40524,1,1,2,2,2
8,0.38936,1,1,3,3,2
8,0.408215,1,0,2,0,0
8,0.569635,1,1,3,3,2
8,0.493445,0,0,2,0,0
8,0.37551,1,1,3,3,2
8,0.47952,1,0,3,0,0
8,0.46134,1,0,1,0,0
8,0.539945,1,1,2,2,2
8,0.542275,1,1,1,1,2
8,0.49594,1,0,2,0,0
8,0.392315,1,1,3,3,2
8,0.447225,1,1,3,3,2
8,0.49146,1,1,2,2,2
8,0.68036,1,0,1,0,0
9,1.27292,0,1,3,3,2
9,1.0287,1,1,1,1,2
9,0.95411,1,0,2,0,0
9,1.286885,0,1,1,1,2
9,1.130405,1,1,1,1,2
9,0.9940599999,1,1,2,2,2
9,1.06129,1,0,3,0,0
9,1.290205,1,1,2,2,2
9,0.7340050002,1,1,2,2,2
9,1.035435,1,0,1,0,0
9,0.80957,0,1,2,2,2
9,0.5926049999,1,1,3,3,2
9,1.05352,0,0,2,0,0
