"subj_idx","rt","response","rwdType","tgtPos","colPos","colMatch"
3,1.132,1,1,3,2,1
3,0.982,1,1,2,1,1
3,1.321,1,1,3,1,1
3,2.192,1,0,3,0,0
3,1.681,1,0,2,0,0
3,1.495,0,0,2,0,0
3,0.783,0,1,1,3,1
3,0.894,0,1,2,3,1
3,1.633,0,0,3,0,0
3,0.509,0,0,2,0,0
3,1.303,0,0,2,0,0
3,1.323,1,1,2,3,1
3,1.035,1,0,3,0,0
3,0.843,0,0,1,0,0
3,1.041,0,0,2,0,0
3,1.019,1,0,1,0,0
3,0.958,0,1,1,3,1
3,0.852,1,1,1,3,1
3,0.997,1,1,1,2,1
3,1.163,1,0,2,0,0
3,0.855,1,1,3,1,1
3,1.388,1,0,2,0,0
3,1.148,1,0,1,0,0
3,1.304,1,1,3,1,1
3,1.466,1,1,1,3,1
3,1.628,1,1,1,2,1
3,1.163,1,1,3,1,1
3,1.177,1,0,3,0,0
3,1.026,1,1,3,1,1
3,2.01,0,0,2,0,0
3,1.345,0,1,1,2,1
3,1.238,1,0,3,0,0
3,2.217,1,1,2,1,1
3,1.688,1,1,2,3,1
3,1.456,1,0,3,0,0
3,1.761,1,1,1,2,1
3,1.197,1,1,2,3,1
3,1.283,1,1,1,2,1
3,1.207,1,1,1,3,1
3,0.874,1,1,3,1,1
3,1.092,1,0,3,0,0
3,1.405,1,0,3,0,0
3,1.139,1,1,1,2,1
3,1.424,1,1,1,3,1
3,1.418,1,0,1,0,0
3,1.374,1,1,3,2,1
3,1.161,1,1,3,1,1
3,1.968,1,1,2,1,1
3,1.212,1,1,1,3,1
3,0.934,1,1,2,1,1
3,1.154,1,0,1,0,0
3,1.044,1,1,3,2,1
3,1.028,0,1,1,2,1
3,1.244,1,0,1,0,0
3,1.009,1,1,3,2,1
3,1.134,0,0,1,0,0
3,1.02,1,1,1,3,1
3,1.22,1,1,2,1,1
3,1.015,1,0,2,0,0
3,2.057,1,1,2,3,1
3,1.179,1,1,1,2,1
3,1.241,1,0,3,0,0
3,1.212,1,1,3,2,1
3,1.287,1,1,2,1,1
3,1.144,1,1,1,2,1
3,1.289,1,1,2,1,1
3,1.256,1,1,2,3,1
3,1.025,1,1,3,1,1
3,1.337,1,1,3,2,1
3,1.387,1,1,2,3,1
3,1.489,1,1,1,3,1
3,1.018,1,1,2,1,1
3,1.027,1,1,2,3,1
3,1.106,1,1,3,2,1
3,1.17,1,1,2,1,1
3,1.194,1,1,2,1,1
3,1.479,1,1,3,1,1
3,1.122,1,0,1,0,0
3,1.074,1,1,3,1,1
3,1.708,1,1,1,3,1
3,1.157,1,1,3,2,1
4,1.448,1,0,1,0,0
4,0.852,0,1,2,1,1
4,1.019,1,0,1,0,0
4,0.675,1,0,1,0,0
4,0.755,0,1,3,2,1
4,0.59,1,0,2,0,0
4,0.55,1,1,2,3,1
4,0.602,0,0,1,0,0
4,0.707,1,1,1,3,1
4,0.965,0,1,1,2,1
4,0.598,1,1,2,1,1
4,0.665,0,1,2,3,1
4,0.996,0,1,2,3,1
4,0.435,1,1,3,1,1
4,0.645,1,0,2,0,0
4,0.485,1,0,1,0,0
4,0.771,0,0,3,0,0
4,0.627,1,1,1,3,1
4,0.768,0,1,3,1,1
4,0.598,0,1,2,1,1
4,0.784,1,0,3,0,0
4,0.5,1,1,3,1,1
4,0.755,1,0,3,0,0
4,0.862,1,1,2,1,1
4,0.807,1,1,1,2,1
4,0.624,1,1,2,3,1
4,0.719,1,1,3,2,1
4,0.776,1,0,2,0,0
4,0.533,0,1,3,1,1
4,0.697,1,0,2,0,0
4,0.665,0,1,2,3,1
4,0.414,1,0,3,0,0
4,0.463,1,1,1,3,1
4,0.663,1,0,1,0,0
4,0.69,1,1,3,1,1
4,0.928,1,1,1,3,1
4,0.794,0,1,1,3,1
4,0.818,1,1,2,1,1
4,0.463,0,1,2,1,1
4,0.856,0,1,2,3,1
4,0.375,1,1,3,1,1
4,0.674,0,0,1,0,0
4,0.888,0,1,1,3,1
4,0.606,1,1,1,3,1
4,0.903,1,0,2,0,0
4,1.005,0,0,1,0,0
4,0.731,0,1,2,1,1
4,0.768,1,1,3,1,1
4,0.493,1,1,1,2,1
4,0.737,1,1,3,2,1
4,0.778,1,0,3,0,0
4,1.087,0,1,1,2,1
4,1.016,1,1,3,2,1
4,0.705,1,0,2,0,0
4,1.129,0,1,2,3,1
4,0.685,1,1,1,2,1
4,0.467,1,1,3,2,1
4,0.433,1,0,3,0,0
4,0.756,1,1,2,1,1
4,0.642,1,1,1,2,1
4,0.763,1,0,2,0,0
4,0.784,1,1,3,2,1
4,0.611,0,1,2,3,1
4,0.549,1,0,3,0,0
4,0.551,1,1,2,3,1
4,0.615,1,0,3,0,0
4,0.618,1,1,2,3,1
4,0.65,1,0,3,0,0
4,0.902,0,1,1,2,1
4,0.585,1,1,2,1,1
4,0.675,1,1,3,2,1
4,0.728,1,0,1,0,0
4,0.654,1,1,1,3,1
4,0.697,1,0,1,0,0
4,0.78,0,1,2,1,1
4,0.632,1,1,3,2,1
4,0.508,1,1,3,2,1
4,0.684,1,1,3,1,1
4,0.721,1,0,2,0,0
4,0.825,0,0,2,0,0
4,0.879,0,1,1,2,1
4,0.773,1,1,1,3,1
4,0.648,1,1,3,2,1
4,0.701,0,1,1,2,1
4,0.837,1,0,2,0,0
