"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","trialType","tgtPosition","color","colorPosition","rewardType","correct","responses","question_order"
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","html-keyboard-response","32","72361","0.0-0.0-1.0-4.2-1.2-0.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","html-keyboard-response","33","73362","0.0-0.0-1.0-4.2-1.2-1.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","html-keyboard-response","34","74364","0.0-0.0-1.0-4.2-1.2-2.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","html-keyboard-response","35","75365","0.0-0.0-1.0-4.2-1.2-3.2","n3q0l3r2u3","red","","","","","","","",""
"null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","html-keyboard-response","36","75808","0.0-0.0-1.0-0.3","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">A</p>","null","html-keyboard-response","37","76310","0.0-0.0-1.0-1.3-0.3","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">z</p>","null","html-keyboard-response","38","76811","0.0-0.0-1.0-1.3-1.3","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">J</p>","null","html-keyboard-response","39","77312","0.0-0.0-1.0-1.3-2.3","n3q0l3r2u3","red","","","","","","","",""
"null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","html-keyboard-response","40","77813","0.0-0.0-1.0-1.3-3.3","n3q0l3r2u3","red","","","","","","","",""
"830.2300000214018","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">A</p>","77","html-keyboard-response","41","78644","0.0-0.0-1.0-1.3-4.3","n3q0l3r2u3","red","RSVPtest","1st","none","none","none","false","",""
"null","<p style=""font-size:300%;"">Miss.</p>","null","html-keyboard-response","42","81146","0.0-0.0-1.0-2.3","n3q0l3r2u3","red","","","","","","","",""
"9463.020000024699","","","survey-multi-choice","43","91611","0.0-1.0-0.0","n3q0l3r2u3","red","","","","","","","{""Q0"":""""}","[0]"
"4507.200000050943","","","survey-multi-select","44","96125","0.0-1.0-1.0","n3q0l3r2u3","red","","","","","","","{""Q0"":[]}","[0]"
