subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtPos,colPos,colMatch,
koy,RSVPtest,117,g,null,null,0,b,3,3,0,
koy,RSVPtest,118,g,null,null,0,b,3,3,0,
koy,RSVPtest,119,g,null,null,0,b,3,3,0,
koy,RSVPtest,120,g,null,null,0,b,3,3,0,
koy,RSVPtest,121,g,null,null,1,r,0,0,2,
koy,RSVPtest,122,g,null,null,1,r,1,0,1,
koy,RSVPtest,123,g,null,null,1,r,2,0,1,
koy,RSVPtest,124,g,null,null,1,r,3,0,1,
koy,RSVPtest,125,g,null,null,1,r,3,0,1,
koy,RSVPtest,126,g,null,null,2,g,0,0,2,
koy,RSVPtest,127,g,null,null,2,g,1,0,1,
koy,RSVPtest,128,g,null,null,2,g,2,0,1,
koy,RSVPtest,129,g,null,null,2,g,3,0,1,
koy,RSVPtest,130,g,null,null,2,g,3,0,1,
koy,RSVPtest,131,g,null,null,1,r,0,1,1,
koy,RSVPtest,132,g,null,null,1,r,1,1,2,
koy,RSVPtest,133,g,null,null,1,r,2,1,1,
koy,RSVPtest,134,g,null,null,1,r,3,1,1,
koy,RSVPtest,135,g,null,null,1,r,3,1,1,
koy,RSVPtest,136,g,null,null,2,g,0,1,1,
koy,RSVPtest,137,g,null,null,2,g,1,1,2,
koy,RSVPtest,138,g,null,null,2,g,2,1,1,
koy,RSVPtest,139,g,null,null,2,g,3,1,1,
koy,RSVPtest,140,g,null,null,2,g,3,1,1,
koy,RSVPtest,141,g,null,null,1,r,0,2,1,
koy,RSVPtest,142,g,null,null,1,r,1,2,1,
koy,RSVPtest,143,g,null,null,1,r,2,2,2,
koy,RSVPtest,144,g,null,null,1,r,3,2,1,
koy,RSVPtest,145,g,null,null,1,r,3,2,1,
koy,RSVPtest,146,g,null,null,2,g,0,2,1,
koy,RSVPtest,147,g,null,null,2,g,1,2,1,
koy,RSVPtest,148,g,null,null,2,g,2,2,2,
koy,RSVPtest,149,g,null,null,2,g,3,2,1,
koy,RSVPtest,150,g,null,null,2,g,3,2,1,
koy,RSVPtest,151,g,null,null,0,b,0,3,0,
koy,RSVPtest,152,g,null,null,0,b,0,3,0,
koy,RSVPtest,153,g,null,null,0,b,1,3,0,
koy,RSVPtest,154,g,null,null,0,b,1,3,0,
koy,RSVPtest,155,g,null,null,0,b,2,3,0,
koy,RSVPtest,156,g,null,null,0,b,2,3,0,
koy,RSVPtest,157,g,null,null,0,b,3,3,0,
koy,RSVPtest,158,g,null,null,0,b,3,3,0,
koy,RSVPtest,159,g,null,null,0,b,3,3,0,
koy,RSVPtest,160,g,null,null,0,b,3,3,0,
koy,RSVPtest,161,g,null,null,1,r,0,0,2,
koy,RSVPtest,162,g,null,null,1,r,1,0,1,
koy,RSVPtest,163,g,null,null,1,r,2,0,1,
koy,RSVPtest,164,g,null,null,1,r,3,0,1,
koy,RSVPtest,165,g,null,null,1,r,3,0,1,
koy,RSVPtest,166,g,null,null,2,g,0,0,2,
koy,RSVPtest,167,g,null,null,2,g,1,0,1,
koy,RSVPtest,168,g,null,null,2,g,2,0,1,
koy,RSVPtest,169,g,null,null,2,g,3,0,1,
koy,RSVPtest,170,g,null,null,2,g,3,0,1,
koy,RSVPtest,171,g,null,null,1,r,0,1,1,
koy,RSVPtest,172,g,null,null,1,r,1,1,2,
koy,RSVPtest,173,g,null,null,1,r,2,1,1,
koy,RSVPtest,174,g,null,null,1,r,3,1,1,
koy,RSVPtest,175,g,null,null,1,r,3,1,1,
koy,RSVPtest,176,g,null,null,2,g,0,1,1,
koy,RSVPtest,177,g,null,null,2,g,1,1,2,
koy,RSVPtest,178,g,null,null,2,g,2,1,1,
koy,RSVPtest,179,g,null,null,2,g,3,1,1,
koy,RSVPtest,180,g,null,null,2,g,3,1,1,
koy,RSVPtest,181,g,null,null,1,r,0,2,1,
koy,RSVPtest,182,g,null,null,1,r,1,2,1,
koy,RSVPtest,183,g,null,null,1,r,2,2,2,
koy,RSVPtest,184,g,null,null,1,r,3,2,1,
koy,RSVPtest,185,g,null,null,1,r,3,2,1,
koy,RSVPtest,186,g,null,null,2,g,0,2,1,
koy,RSVPtest,187,g,null,null,2,g,1,2,1,
koy,RSVPtest,188,g,null,null,2,g,2,2,2,
koy,RSVPtest,189,g,null,null,2,g,3,2,1,
koy,RSVPtest,190,g,null,null,2,g,3,2,1,
koy,RSVPtest,191,g,null,null,0,b,0,3,0,
koy,RSVPtest,192,g,null,null,0,b,0,3,0,
koy,RSVPtest,193,g,null,null,0,b,1,3,0,
koy,RSVPtest,194,g,null,null,0,b,1,3,0,
koy,RSVPtest,195,g,null,null,0,b,2,3,0,
koy,RSVPtest,196,g,null,null,0,b,2,3,0,
koy,RSVPtest,197,g,null,null,0,b,3,3,0,
koy,RSVPtest,198,g,null,null,0,b,3,3,0,
koy,RSVPtest,199,g,null,null,0,b,3,3,0,
koy,RSVPtest,200,g,null,null,0,b,3,3,0,
koy,RSVPtest,201,g,null,null,1,r,0,0,2,
koy,RSVPtest,202,g,null,null,1,r,1,0,1,
koy,RSVPtest,203,g,null,null,1,r,2,0,1,
koy,RSVPtest,204,g,null,null,1,r,3,0,1,
koy,RSVPtest,205,g,null,null,1,r,3,0,1,
koy,RSVPtest,206,g,null,null,2,g,0,0,2,
koy,RSVPtest,207,g,null,null,2,g,1,0,1,
koy,RSVPtest,208,g,null,null,2,g,2,0,1,
koy,RSVPtest,209,g,null,null,2,g,3,0,1,
koy,RSVPtest,210,g,null,null,2,g,3,0,1,
koy,RSVPtest,211,g,null,null,1,r,0,1,1,
koy,RSVPtest,212,g,null,null,1,r,1,1,2,
koy,RSVPtest,213,g,null,null,1,r,2,1,1,
koy,RSVPtest,214,g,null,null,1,r,3,1,1,
koy,RSVPtest,215,g,null,null,1,r,3,1,1,
koy,RSVPtest,216,g,null,null,2,g,0,1,1,
koy,RSVPtest,217,g,null,null,2,g,1,1,2,
koy,RSVPtest,218,g,null,null,2,g,2,1,1,
koy,RSVPtest,219,g,null,null,2,g,3,1,1,
koy,RSVPtest,220,g,null,null,2,g,3,1,1,
koy,RSVPtest,221,g,null,null,1,r,0,2,1,
koy,RSVPtest,222,g,null,null,1,r,1,2,1,
koy,RSVPtest,223,g,null,null,1,r,2,2,2,
koy,RSVPtest,224,g,null,null,1,r,3,2,1,
koy,RSVPtest,225,g,null,null,1,r,3,2,1,
koy,RSVPtest,226,g,null,null,2,g,0,2,1,
koy,RSVPtest,227,g,null,null,2,g,1,2,1,
koy,RSVPtest,228,g,null,null,2,g,2,2,2,
koy,RSVPtest,229,g,null,null,2,g,3,2,1,
koy,RSVPtest,230,g,null,null,2,g,3,2,1,
koy,RSVPtest,231,g,null,null,0,b,0,3,0,
koy,RSVPtest,232,g,null,null,0,b,0,3,0,
koy,RSVPtest,233,g,null,null,0,b,1,3,0,
koy,RSVPtest,234,g,null,null,0,b,1,3,0,
koy,RSVPtest,235,g,null,null,0,b,2,3,0,
koy,RSVPtest,236,g,null,null,0,b,2,3,0,
koy,RSVPtest,237,g,null,null,0,b,3,3,0,
koy,RSVPtest,238,g,null,null,0,b,3,3,0,
koy,RSVPtest,239,g,null,null,0,b,3,3,0,
koy,RSVPtest,240,g,null,null,0,b,3,3,0,
