"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","url","responses","question_order","view_history","stimulus","key_press","trialType","color","tgtPosition","orientation","correct","rewardType","reward","value","colorPosition"
"","html-keyboard-response","295","525868","0.0-7.0-0.0-0.12","fudttrkjtv","green","null","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","",""
"","html-keyboard-response","296","526370","0.0-7.0-0.0-1.12-0.12","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">y</p>","null","","","","","","","","",""
"","html-keyboard-response","297","526871","0.0-7.0-0.0-1.12-1.12","fudttrkjtv","green","null","","","","","<p style=""color: green; text-align:center; font-family: BACS1; font-size:1000%;"">q</p>","null","","","","","","","","",""
"","html-keyboard-response","298","527372","0.0-7.0-0.0-1.12-2.12","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">p</p>","null","","","","","","","","",""
"","html-keyboard-response","299","527873","0.0-7.0-0.0-1.12-3.12","fudttrkjtv","green","null","","","","","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","","",""
"","html-keyboard-response","300","528741","0.0-7.0-0.0-1.12-4.12","fudttrkjtv","green","867.5149999980349","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">z</p>","77","RSVPtest","green","new","","true","high","","","2nd"
"","html-keyboard-response","301","531242","0.0-7.0-0.0-2.12","fudttrkjtv","green","null","","","","","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","",""
"","html-keyboard-response","302","533039","0.0-7.0-0.0-0.13","fudttrkjtv","green","null","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","",""
"","html-keyboard-response","303","533540","0.0-7.0-0.0-1.13-0.13","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">n</p>","null","","","","","","","","",""
"","html-keyboard-response","304","534041","0.0-7.0-0.0-1.13-1.13","fudttrkjtv","green","null","","","","","<p style=""color: green; text-align:center; font-family: BACS2; font-size:1000%;"">d</p>","null","","","","","","","","",""
