subj_idx,rt,response,tgtPos,rwdType,colMatch
0,0.6481,1,0,2,1
0,0.6608,1,1,1,1
0,0.7042,1,0,1,1
0,0.7143,1,0,2,1
0,0.6427,1,1,1,1
0,0.5271,1,0,1,1
0,0.5777,1,0,1,1
0,0.6499,1,1,2,1
0,0.7284,1,1,2,1
0,1.3615,0,0,1,1
0,0.6262,1,0,1,1
0,0.6264,1,1,2,1
0,0.6584,1,1,2,1
0,0.8743,1,0,2,1
0,1.3074,0,0,2,1
0,0.6142,1,0,1,1
0,0.783,1,0,1,1
0,0.7756,1,0,2,1
0,0.9605,1,0,1,1
0,0.8158,1,1,1,1
0,0.7105,1,1,1,1
0,1.0653,1,1,2,1
0,0.7456,1,0,1,1
0,1.0244,1,1,1,1
0,0.6105,1,0,2,1
0,0.6557,1,0,2,1
0,0.6821,1,0,2,1
0,0.7128,1,1,1,1
0,0.6792,1,0,2,1
0,0.5207,1,1,1,1
0,0.7286,0,0,1,1
0,0.6905,1,0,1,1
0,0.7759,1,1,2,1
0,0.799,0,0,1,1
0,0.722,1,1,1,1
0,0.6958,1,0,2,1
0,0.7696,1,0,2,1
0,1.2561,1,0,2,1
0,0.7789,1,1,1,1
0,0.6501,1,1,2,1
0,0.5368,1,1,2,1
0,0.7281,1,0,1,1
0,0.8151,1,1,2,1
0,0.9932,1,1,2,1
0,0.6552,1,1,1,1
0,0.6652,1,0,1,1
0,0.7259,1,1,2,1
0,0.7268,1,0,1,1
0,0.7132,1,1,1,1
0,0.8474,1,0,1,1
0,1.1765,1,0,1,1
0,0.6886,1,1,1,1
0,0.6136,1,0,2,1
0,0.5019,1,0,2,1
0,0.5597,1,1,2,1
0,0.6634,1,1,2,1
0,1.5198,1,0,2,1
0,0.9586,1,0,2,1
0,0.7298,1,0,2,1
0,0.8084,1,0,1,1
0,0.6162,1,1,1,1
0,0.634,1,1,1,1
0,0.7364,1,1,2,1
0,0.6098,1,1,2,1
1,0.6185,1,0,1,1
1,0.6412,1,1,2,1
1,0.8102,0,0,1,1
1,0.3846,1,0,1,1
1,0.9124,1,0,2,1
1,1.0314,0,0,2,1
1,0.863,1,0,2,1
1,0.8706,1,0,2,1
1,0.7999,1,1,2,1
1,1.1251,0,0,1,1
1,0.9202,0,1,2,1
1,0.9973,0,0,2,1
1,0.7753,1,1,1,1
1,0.9589,1,0,1,1
1,0.6864,1,1,2,1
1,0.9911,1,0,2,1
1,0.9845,1,1,2,1
1,0.4084,1,0,2,1
1,0.9279,1,0,1,1
1,1.0079,1,0,1,1
1,0.6476,1,0,1,1
1,0.7747,1,1,2,1
1,1.1841,1,0,2,1
1,0.6649,1,1,2,1
1,0.9106,1,1,1,1
1,0.5906,1,1,1,1
1,0.9597,0,0,1,1
1,0.6536,1,0,1,1
1,0.9292,1,1,1,1
1,1.0618,1,0,2,1
1,0.7925,1,0,1,1
1,0.8382,1,1,1,1
1,0.6647,1,1,1,1
1,0.5422,1,0,2,1
1,0.5423,1,0,1,1
1,0.6229,0,1,2,1
1,1.0167,0,0,2,1
1,0.6828,1,0,1,1
1,0.6939,1,0,2,1
1,0.9277,1,1,2,1
1,0.7006,1,1,1,1
1,0.6159,1,0,1,1
1,0.4633,1,0,2,1
1,0.9328,1,1,1,1
1,0.7921,1,1,1,1
1,0.7318,1,0,2,1
1,0.6867,1,0,2,1
1,0.7665,1,1,1,1
1,1.0363,1,1,1,1
1,1.1484,1,1,2,1
1,0.8476,1,1,1,1
1,0.7353,1,1,1,1
1,0.6758,1,0,2,1
1,0.9576,1,0,2,1
1,1.0384,0,1,2,1
1,0.668,1,1,1,1
1,1.006,1,1,1,1
1,0.74,1,1,1,1
1,0.5172,1,0,1,1
1,0.8147,0,1,1,1
1,0.4212,1,0,1,1
1,0.7812,1,0,1,1
1,0.6143,1,0,1,1
1,0.7082,1,0,2,1
1,0.9436,0,0,2,1
1,1.1657,0,0,1,1
1,0.959,0,0,1,1
1,0.6854,1,1,1,1
1,0.764,1,1,2,1
1,0.605,1,1,2,1
1,0.8851,0,1,2,1
1,0.6394,1,1,2,1
1,0.7575,1,0,1,1
1,0.8766,1,1,2,1
1,0.7227,1,0,1,1
1,0.6143,0,1,1,1
1,0.8138,1,1,2,1
1,0.3892,1,0,2,1
1,0.8556,1,1,1,1
1,0.9177,1,0,2,1
1,0.693,1,0,2,1
1,0.4355,1,0,2,1
1,0.7237,0,1,1,1
1,0.4921,1,0,2,1
1,0.7492,0,1,1,1
1,0.804,1,0,2,1
1,0.7813,1,1,2,1
1,0.932,1,1,2,1
1,0.7634,1,1,2,1
1,0.8906,1,1,1,1
1,0.661,1,1,2,1
1,0.7338,1,0,2,1
1,0.894,1,1,2,1
1,0.7563,1,1,1,1
1,0.8463,1,0,1,1
1,0.8448,0,1,1,1
1,1.0559,0,0,2,1
1,0.9402,1,1,2,1
1,0.7504,0,1,1,1
1,0.9644,1,1,2,1
1,0.6603,0,0,1,1
1,0.6446,1,1,1,1
1,0.7649,1,1,1,1
1,0.6941,1,1,1,1
1,0.8444,0,0,2,1
1,0.8113,1,1,2,1
1,0.868,1,0,1,1
1,0.7179,0,1,1,1
1,0.693,1,1,2,1
1,0.8144,1,0,1,1
1,0.717,1,0,2,1
1,0.6052,1,1,1,1
1,0.7646,0,1,2,1
1,0.8522,0,1,2,1
1,0.8024,1,1,2,1
1,0.7805,1,1,1,1
1,1.0123,1,0,2,1
1,0.676,1,0,2,1
1,0.8621,0,0,1,1
1,0.8999,1,1,2,1
1,0.6614,0,0,2,1
1,1.1064,1,1,2,1
1,0.7628,1,0,2,1
1,0.6373,1,0,1,1
1,0.5736,1,0,2,1
1,0.46,0,1,2,1
1,0.6683,0,0,1,1
1,0.8381,1,1,2,1
1,1.002,1,1,2,1
1,0.7698,1,0,1,1
1,0.7722,1,0,1,1
1,0.6658,1,1,1,1
1,0.6847,0,0,1,1
1,0.6094,1,1,1,1
1,0.7254,1,1,2,1
1,0.5237,1,0,2,1
1,0.8542,0,1,2,1
1,0.8653,0,0,1,1
1,0.5947,1,1,1,1
1,0.9086,1,0,1,1
1,1.1731,0,0,1,1
1,0.773,1,0,2,1
1,0.6851,1,0,1,1
1,0.8597,1,1,1,1
2,1.88,1,0,1,1
2,0.8788,1,1,1,1
2,1.4761,0,1,1,1
2,1.4878,0,1,1,1
2,1.0532,1,0,2,1
2,1.2142,1,1,1,1
2,0.9012,0,0,1,1
2,0.8058,1,1,1,1
2,1.2074,0,0,1,1
2,0.7807,1,1,1,1
2,0.6949,0,0,2,1
2,1.3591,1,0,2,1
2,0.6936,1,1,2,1
2,1.0731,1,1,1,1
2,0.8293,1,0,2,1
2,0.7743,1,1,2,1
2,0.6953,0,1,2,1
2,0.4942,1,0,1,1
2,0.6718,0,0,1,1
2,0.5659,1,1,1,1
2,0.6682,0,0,1,1
2,0.7805,0,0,1,1
2,0.6298,0,0,2,1
2,0.6444,0,1,1,1
2,1.2135,1,0,2,1
2,0.8539,1,0,1,1
2,0.7177,1,1,1,1
2,0.5871,1,1,2,1
2,0.614,0,1,1,1
2,0.6618,1,1,2,1
2,1.4982,0,1,2,1
2,0.998,1,0,2,1
2,0.9875,1,0,1,1
2,0.8158,1,0,2,1
2,0.98,0,0,2,1
2,1.0977,1,1,2,1
2,0.7168,1,0,1,1
2,0.5747,1,1,1,1
2,0.7503,0,1,2,1
2,0.8222,0,1,1,1
2,2.0788,0,0,1,1
2,1.2774,0,1,2,1
2,1.2932,1,1,1,1
2,0.743,1,1,2,1
2,0.8304,1,1,1,1
2,1.0224,1,0,1,1
2,0.8696,1,0,2,1
2,1.4104,1,1,2,1
2,0.9324,1,1,2,1
2,1.4319,1,0,1,1
2,0.7232,1,0,1,1
2,0.7007,0,1,2,1
2,1.0834,1,0,2,1
2,0.6429,1,0,2,1
2,0.8403,1,0,1,1
2,1.4914,0,1,1,1
2,1.0448,0,1,1,1
2,0.6585,1,0,2,1
2,0.5281,1,0,2,1
2,0.845,1,0,1,1
2,0.7318,1,1,2,1
2,0.7966,0,0,1,1
2,1.4468,0,1,2,1
2,1.2105,1,0,2,1
2,0.7237,1,1,2,1
2,0.8036,1,1,1,1
2,0.7975,1,0,2,1
2,0.5651,1,0,2,1
2,0.6828,1,0,1,1
2,0.7893,0,1,1,1
2,0.6762,1,1,1,1
2,0.4756,1,0,2,1
2,0.8383,0,1,2,1
2,0.6282,1,0,2,1
2,0.6838,1,0,2,1
2,0.6576,0,1,2,1
2,0.6636,1,0,1,1
2,1.1377,1,1,1,1
2,0.9497,1,0,1,1
2,1.0174,1,1,1,1
2,0.9245,1,1,1,1
2,1.5315,0,1,1,1
2,0.7158,1,1,1,1
2,0.6699,1,1,1,1
2,2.0665,1,0,2,1
2,1.9541,0,1,2,1
2,1.4675,0,1,2,1
2,1.0528,0,1,1,1
2,0.6977,1,0,2,1
2,0.4184,1,0,2,1
2,0.6193,1,0,2,1
2,0.698,1,1,1,1
2,0.7084,1,0,2,1
2,0.6912,1,1,2,1
2,0.7291,1,1,2,1
2,0.89,1,0,2,1
2,0.8177,1,1,2,1
2,0.618,1,0,1,1
2,0.516,1,0,2,1
2,0.6032,0,1,1,1
2,0.5951,0,1,2,1
2,0.6206,1,0,1,1
2,0.6244,1,1,2,1
2,0.6922,1,1,2,1
2,0.6419,0,0,2,1
2,1.4153,0,1,2,1
2,0.6368,1,0,1,1
2,1.1012,1,0,1,1
2,0.7372,0,0,2,1
2,0.6347,0,1,2,1
2,0.8059,0,0,2,1
2,0.5873,1,1,1,1
2,0.7948,0,0,1,1
2,0.7026,0,0,1,1
2,0.5332,1,0,1,1
2,0.6508,1,1,2,1
2,0.6663,1,1,2,1
2,0.7677,1,0,1,1
2,0.6819,1,0,1,1
2,0.6822,1,1,2,1
2,0.729,1,1,2,1
2,0.9228,1,0,1,1
2,0.6258,1,0,1,1
2,1.0006,1,0,1,1
2,0.5301,1,1,2,1
2,0.8513,1,0,1,1
2,0.8473,1,0,2,1
2,0.4887,1,0,2,1
2,0.6671,1,1,1,1
2,0.6091,0,1,2,1
2,0.4958,0,0,1,1
2,0.543,1,1,1,1
2,0.5762,0,1,1,1
2,0.6747,1,0,2,1
2,0.4088,1,0,2,1
2,0.6911,1,0,1,1
2,0.5483,1,0,1,1
2,0.8346,0,1,1,1
2,0.5313,0,0,2,1
2,0.7542,0,1,1,1
2,0.7947,1,1,2,1
2,1.2536,1,0,2,1
2,0.69,1,1,1,1
2,1.3459,1,1,2,1
3,0.9537,1,1,1,1
3,0.7952,1,1,2,1
3,0.9737,0,0,2,1
3,0.8133,1,1,1,1
3,0.8043,1,1,1,1
3,0.7151,1,1,2,1
3,0.9592,1,1,2,1
3,1.0657,1,1,2,1
3,1.0045,1,0,1,1
3,0.9297,1,1,2,1
3,0.8195,1,0,1,1
3,0.8405,1,1,1,1
3,0.5946,1,0,2,1
3,1.0192,0,0,2,1
3,0.9484,1,0,1,1
3,0.7452,1,1,2,1
3,0.8752,1,1,1,1
3,0.78,1,1,1,1
3,0.8032,1,1,1,1
3,0.7317,1,1,1,1
3,0.8966,0,1,1,1
3,0.7152,0,0,2,1
3,1.1075,1,1,1,1
3,1.1081,0,0,1,1
3,0.9381,1,0,2,1
3,1.0982,0,1,2,1
3,0.8975,1,1,1,1
3,1.2748,1,0,1,1
3,0.8897,1,1,2,1
3,1.2409,0,0,2,1
3,0.93,1,0,2,1
3,2.1123,0,1,1,1
3,1.5375,0,1,1,1
3,0.8898,1,0,1,1
3,0.9408,1,0,1,1
3,0.8552,1,1,1,1
3,0.809,0,0,1,1
3,1.1952,1,1,2,1
3,0.7494,1,1,1,1
3,0.8587,1,0,2,1
3,0.9084,1,0,2,1
3,1.1625,1,0,2,1
3,0.8431,1,0,1,1
3,0.7027,1,1,1,1
3,0.8259,0,1,1,1
3,0.7299,1,1,1,1
3,1.3629,1,0,1,1
3,0.9231,1,0,1,1
3,0.6977,1,0,1,1
3,0.933,0,0,2,1
3,1.5149,1,0,1,1
3,1.225,0,1,2,1
3,0.6971,1,1,2,1
3,0.9775,1,1,2,1
3,0.8482,0,0,2,1
3,1.273,1,0,2,1
3,1.28,1,0,1,1
3,0.8129,1,1,1,1
3,1.8246,1,1,2,1
3,0.729,1,1,2,1
3,1.0482,0,0,2,1
3,1.3944,0,0,1,1
3,1.1222,1,0,1,1
3,0.9026,0,0,1,1
3,0.8965,0,1,2,1
3,1.2157,0,0,1,1
3,1.1756,0,0,2,1
3,0.9524,0,1,2,1
3,0.8804,0,1,2,1
3,1.1118,1,0,2,1
3,0.9285,0,1,2,1
3,0.5529,1,1,1,1
3,1.3284,1,1,1,1
3,0.9283,1,0,2,1
