"subject","rewardType","tgtPosition","colorPosition","response","rt","congruence"
"2","low","1st","2nd","1",0.656,"incongruent"
"2","low","3rd","2nd","1",0.555,"incongruent"
"2","low","2nd","2nd","1",0.609,"congruent"
"2","none","3rd","none","1",0.514,"na"
"2","low","3rd","3rd","1",0.595,"congruent"
"2","low","3rd","2nd","1",0.573,"incongruent"
"2","high","1st","1st","1",0.657,"congruent"
"2","low","2nd","1st","1",0.84,"incongruent"
"2","none","3rd","none","1",0.648,"na"
"2","low","1st","2nd","0",0.484,"incongruent"
"2","high","3rd","2nd","1",0.479,"incongruent"
"2","high","3rd","1st","1",0.474,"incongruent"
"2","low","1st","2nd","1",0.684,"incongruent"
"2","low","1st","1st","1",0.696,"congruent"
"2","high","3rd","2nd","1",0.436,"incongruent"
"2","none","3rd","none","1",0.718,"na"
"2","high","1st","1st","1",0.548,"congruent"
"2","low","2nd","2nd","1",0.519,"congruent"
"2","high","3rd","3rd","1",0.548,"congruent"
"2","none","3rd","none","1",0.468,"na"
"2","high","1st","1st","0",0.61,"congruent"
"2","high","3rd","2nd","1",0.811,"incongruent"
"2","high","2nd","3rd","1",1.004,"incongruent"
"2","high","3rd","3rd","1",0.621,"congruent"
"2","none","1st","none","1",0.606,"na"
"2","low","1st","3rd","0",0.717,"incongruent"
"2","none","3rd","none","1",0.722,"na"
"2","high","1st","2nd","1",0.798,"incongruent"
"2","low","1st","2nd","1",0.719,"incongruent"
"2","low","1st","1st","1",0.654,"congruent"
"2","none","2nd","none","1",0.682,"na"
"2","low","3rd","2nd","1",0.556,"incongruent"
"2","low","2nd","3rd","1",0.621,"incongruent"
"2","low","1st","1st","1",0.508,"congruent"
"2","none","2nd","none","1",0.813,"na"
"2","high","1st","1st","1",0.499,"congruent"
"2","high","1st","2nd","1",0.585,"incongruent"
"2","high","2nd","3rd","0",0.649,"incongruent"
"2","high","1st","3rd","1",0.522,"incongruent"
"2","low","1st","3rd","1",0.691,"incongruent"
"2","low","3rd","2nd","1",0.51,"incongruent"
"2","high","2nd","3rd","1",0.746,"incongruent"
"2","low","3rd","1st","1",0.491,"incongruent"
"2","high","2nd","2nd","1",0.718,"congruent"
"2","high","2nd","3rd","1",0.536,"incongruent"
"2","none","2nd","none","1",0.702,"na"
"2","low","3rd","1st","1",0.5,"incongruent"
"2","none","2nd","none","1",0.746,"na"
"2","high","3rd","1st","1",0.49,"incongruent"
"2","low","1st","1st","1",0.758,"congruent"
"2","low","2nd","1st","0",0.92,"incongruent"
"2","low","1st","2nd","1",0.65,"incongruent"
"2","low","1st","3rd","1",0.959,"incongruent"
"2","low","3rd","2nd","1",0.505,"incongruent"
"2","high","2nd","1st","1",0.664,"incongruent"
"2","low","3rd","3rd","1",0.486,"congruent"
"2","high","2nd","3rd","1",0.946,"incongruent"
"2","high","3rd","2nd","1",0.505,"incongruent"
"2","low","2nd","3rd","0",0.609,"incongruent"
"2","low","3rd","1st","1",0.51,"incongruent"
"2","low","2nd","2nd","1",0.745,"congruent"
"2","low","2nd","1st","0",0.67,"incongruent"
"2","low","3rd","3rd","1",0.548,"congruent"
"2","high","1st","3rd","0",0.618,"incongruent"
"2","none","2nd","none","1",0.796,"na"
"2","low","1st","3rd","1",0.58,"incongruent"
"2","high","1st","3rd","1",0.799,"incongruent"
"2","low","2nd","3rd","1",0.506,"incongruent"
"2","none","1st","none","1",0.749,"na"
"2","low","2nd","1st","1",0.581,"incongruent"
"2","high","2nd","2nd","1",0.926,"congruent"
"2","low","3rd","1st","1",0.553,"incongruent"
"2","high","1st","2nd","1",0.738,"incongruent"
"2","low","2nd","3rd","1",0.562,"incongruent"
"2","none","3rd","none","1",0.481,"na"
"2","none","2nd","none","1",0.826,"na"
"2","none","1st","none","1",0.657,"na"
"2","none","2nd","none","1",0.622,"na"
"2","none","1st","none","1",0.577,"na"
"2","none","1st","none","0",0.84,"na"
"2","high","2nd","2nd","1",1.027,"congruent"
"2","low","2nd","3rd","1",0.589,"incongruent"
"2","high","3rd","3rd","1",0.524,"congruent"
"2","high","3rd","3rd","1",0.67,"congruent"
"2","low","3rd","3rd","1",0.507,"congruent"
"2","none","2nd","none","1",0.554,"na"
"2","none","3rd","none","1",0.468,"na"
"3","none","2nd","none","1",1.776,"na"
"3","low","2nd","3rd","0",1.075,"incongruent"
"3","high","1st","1st","1",1.318,"congruent"
"3","high","3rd","2nd","1",1.478,"incongruent"
"3","high","3rd","3rd","1",1.344,"congruent"
"3","high","3rd","2nd","1",1.004,"incongruent"
"3","low","3rd","3rd","1",0.783,"congruent"
"3","low","1st","1st","1",1.01,"congruent"
"3","low","1st","1st","1",1.388,"congruent"
"3","low","2nd","3rd","1",0.785,"incongruent"
"3","low","1st","2nd","1",0.95,"incongruent"
"3","none","1st","none","1",0.88,"na"
"3","low","3rd","3rd","0",0.753,"congruent"
"3","low","2nd","2nd","0",2.063,"congruent"
"3","low","3rd","2nd","1",1.132,"incongruent"
"3","low","2nd","1st","1",0.982,"incongruent"
"3","low","3rd","1st","1",1.321,"incongruent"
"3","none","3rd","none","1",2.192,"na"
"3","none","2nd","none","1",1.681,"na"
"3","none","2nd","none","0",1.495,"na"
"3","low","1st","3rd","0",0.783,"incongruent"
"3","high","2nd","3rd","0",0.894,"incongruent"
"3","none","3rd","none","0",1.633,"na"
"3","none","2nd","none","0",0.509,"na"
"3","none","2nd","none","0",1.303,"na"
"3","high","2nd","3rd","1",1.323,"incongruent"
"3","high","3rd","3rd","1",0.935,"congruent"
"3","none","3rd","none","1",1.035,"na"
"3","none","1st","none","0",0.843,"na"
"3","low","2nd","2nd","1",1.3,"congruent"
"3","none","2nd","none","0",1.041,"na"
"3","high","1st","1st","0",0.823,"congruent"
"3","none","1st","none","1",1.019,"na"
"3","high","1st","3rd","0",0.958,"incongruent"
"3","high","1st","3rd","1",0.852,"incongruent"
"3","low","1st","2nd","1",0.997,"incongruent"
"3","none","2nd","none","1",1.163,"na"
"3","low","3rd","1st","1",0.855,"incongruent"
"3","high","2nd","2nd","0",1.402,"congruent"
"3","high","2nd","2nd","1",1.49,"congruent"
"3","high","2nd","2nd","0",1.386,"congruent"
"3","none","2nd","none","1",1.388,"na"
"3","none","1st","none","1",1.148,"na"
