"subID","rt","correct","rwdType","colMatch"
0,1307.40000009537,0,2,1
0,614.200000047684,1,1,1
0,1361.59999990463,1,2,2
0,463.700000047684,1,2,2
0,943.199999809265,1,0,0
0,434.5,1,0,0
0,673,1,0,0
0,889.299999952316,1,2,2
0,783,1,1,1
0,775.600000143051,1,2,1
0,960.5,1,1,1
0,815.799999952316,1,1,1
0,710.5,1,1,1
0,1065.29999995232,1,2,1
0,745.599999904633,1,1,1
0,1024.40000009537,1,1,1
0,610.5,1,2,1
0,879.5,1,1,2
0,655.699999809265,1,2,1
0,682.099999904633,1,2,1
0,712.799999952316,1,1,1
0,679.200000047684,1,2,1
0,520.700000047684,1,1,1
0,728.599999904633,0,1,1
0,690.5,1,1,1
0,606.5,1,1,2
0,775.900000095367,1,2,1
0,799,0,1,1
0,978.299999952316,0,0,0
0,1221.10000014305,1,0,0
0,894.100000143051,1,0,0
0,791.300000190735,1,0,0
0,722,1,1,1
0,840.200000047684,1,2,2
0,695.799999952316,1,2,1
0,769.599999904633,1,2,1
0,1256.09999990463,1,2,1
0,579.400000095367,1,0,0
0,778.900000095367,1,1,1
0,864.700000047684,1,0,0
0,650.099999904633,1,2,1
0,888.299999952316,1,0,0
0,658.399999856949,1,0,0
0,536.799999952316,1,2,1
0,992,1,0,0
0,728.099999904633,1,1,1
0,977.200000047684,1,1,2
0,815.100000143051,1,2,1
0,727.700000047684,1,0,0
0,753.5,1,0,0
0,993.199999809265,1,2,1
0,655.200000047684,1,1,1
0,665.199999809265,1,1,1
0,725.899999856949,1,2,1
0,634.900000095367,1,0,0
0,890.200000047684,1,0,0
0,808.200000047684,1,0,0
0,726.799999952316,1,1,1
0,639,1,0,0
0,672.5,1,0,0
0,713.200000047684,1,1,1
0,847.400000095367,1,1,1
0,1176.5,1,1,1
0,688.599999904633,1,1,1
0,800,1,2,2
0,559.5,1,0,0
0,728.5,1,0,0
0,640.900000095367,1,0,0
0,613.600000143051,1,2,1
0,617.099999904633,1,2,2
0,501.900000095367,1,2,1
0,559.700000047684,1,2,1
0,670.899999856949,1,0,0
0,663.400000095367,1,2,1
0,622.400000095367,1,0,0
0,1519.80000019073,1,2,1
0,1272.70000004768,0,1,2
0,711.5,1,0,0
0,958.600000143051,1,2,1
0,729.799999952316,1,2,1
0,502.399999856949,1,1,2
0,808.399999856949,1,1,1
0,616.200000047684,1,1,1
0,634,1,1,1
0,736.399999856949,1,2,1
0,609.800000190735,1,2,1
1,774.100000008941,1,1,1
1,706.59999999404,1,2,1
1,572.29999999702,1,1,1
1,805.09999999404,1,0,0
1,965.90000000596,1,2,1
1,676.600000008941,0,1,2
1,868.5,1,0,0
1,683.70000000298,1,2,1
1,541.800000011921,0,1,1
1,565.29999999702,1,1,1
1,1025.5,1,2,1
1,677,1,2,1
1,612.70000000298,1,2,1
1,844.100000008941,0,0,0
1,691.5,0,0,0
1,596.40000000596,1,1,1
